IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"44.218.32.126","sancertv1-1.stg-prsn.com","Pearson PLC","GB","","London","sancertv1-1.stg-prsn.com|aleadaptiveservice-vol.stg-openclass.com|aleadaptiveservice.stg-openclass.com|aleahwui.stg-openclass.com|alemmtxl.stg-openclass.com|assignmentcontents-cert.stg-openclass.com|assignmentcontents.stg-openclass.com|chatservice-cert.stg-openclass.com|chatservice-stgf.stg-openclass.com|chatservice.stg-openclass.com|hub.paf.cert.pearsoncmg.com|hub.paf.ppe.pearsoncmg.com|hub.paf.ppeb.pearsoncmg.com|hub.paf.staging.pearsoncmg.com|irrcert.stg-openclass.com|irrppe.stg-openclass.com|irrv1cert.stg-prsn.com|itemrepo-cert.stg-openclass.com|itemrepo.stg-openclass.com|las-ilp-ppe.stg-openclass.com|las-ilp-stg.stg-openclass.com|learningassets-ilp-ppe.stg-openclass.com|learningassets-ilp-stg.stg-openclass.com|pafhubcert.stg-prsn.com|pafhubcon.stg-prsn.com|pafirrppe.stg-openclass.com|pafrepocert.stg-prsn.com|pafrepocon.stg-prsn.com|repo.paf.cert.pearsoncmg.com|repo.paf.ppe.pearsoncmg.com|repo.paf.ppeb.pearsoncmg.com|repo.paf.staging.pearsoncmg.com|scoringengine-cert.stg-openclass.com|scoringengine.stg-openclass.com|settings-cert.stg-openclass.com|settings.stg-openclass.com|xldash-api-int.pearsoncmg.com|xldash-int.pearsoncmg.com|xldash-lti-int.pearsoncmg.com|xldash-lti.stg-prsn.com|xldash-services.stg-prsn.com|xldash-ui.stg-prsn.com","","false"
"44.218.32.147","kube-apiserver","","","","","0daab822902b2444cbfb7d88a1576a60.gr7.us-east-1.eks.amazonaws.com|ip-172-16-119-88.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.180.122.221|172.16.119.88","false"
"44.218.32.154","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com","","false"
"44.218.32.152","*.us01-dev-realtime.treasuredata-apps.com","","","","","*.us01-dev-realtime.treasuredata-apps.com","","false"
"44.218.32.162","default","","","","","","","true"
"44.218.32.153","vipbrtelecom.com","","","","","vipbrtelecom.com|*.vipbrtelecom.com","","false"
"44.218.32.160","kube-apiserver","","","","","01c4617828132e76afb938bed3c2a540.gr7.us-east-1.eks.amazonaws.com|ip-172-16-105-138.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.147.0.1|10.122.150.202|172.16.105.138","false"
"44.218.32.157","*.dhisco.com","RateGain Technologies Inc.","US","Dallas","Texas","*.dhisco.com|dhisco.com","","false"
"44.218.32.161","*.innovativedatasolutions.com","Appriss, Inc.","US","Louisville","Kentucky","*.innovativedatasolutions.com|innovativedatasolutions.com","","false"
"44.218.32.159","kube-apiserver","","","","","8900f68ae2ca301748ad560419f213d0.gr7.us-east-1.eks.amazonaws.com|ip-10-0-50-13.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.31.15.170|10.0.50.13","false"
"44.218.32.165","*.foxnews.com","","","","","*.foxnews.com|*.foxweather.com|*.fn-ifttt-api.com|*.foxnewsinternational.com|*.foxbusiness.com|*.foxnewsradio.com|*.foxsuper6.com|*.gumbyworld.com|foxsuper6.com|foxnation.com|*.nation.foxnews.com|*.foxnation.com","","false"
"44.218.32.176","*.furbo.co","","","","","*.furbo.co","","false"
"44.218.32.173","genai.wwso.aws.dev","","","","","genai.wwso.aws.dev|dev.genai.wwso.aws.dev|stg.genai.wwso.aws.dev|evc.genai.wwso.aws.dev|reinvent.genai.wwso.aws.dev","","false"
"44.218.32.197","*.beta-useast1.onsolve.com","Onsolve, LLC","US","Alpharetta","Georgia","*.beta-useast1.onsolve.com|beta-useast1.onsolve.com","","false"
"44.218.32.192","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"44.218.32.203","*.10351.elluciancloud.com","","","","","*.10351.elluciancloud.com","","false"
"44.218.32.185","mx-prod.mastering.pearsoncmg.com","Pearson PLC","GB","","London","mx-prod.mastering.pearsoncmg.com|aandp.mx.pearsonprd.tech|ais.mastering.pearsoncmg.com|ais.mx.pearsonprd.tech|aos.mx-prod.mastering.pearsoncmg.com|aos.mx.pearsonprd.tech|api.mastering.pearsoncmg.com|api.mx.pearsonprd.tech|astronomy.mx.pearsonprd.tech|auth.mx-prod.mastering.pearsoncmg.com|auth.mx.pearsonprd.tech|author.mastering.pearsoncmg.com|authoring.mx.pearsonprd.tech|biology.mx.pearsonprd.tech|bronteil.mastering.pearsoncmg.com|bronteil.mx.pearsonprd.tech|chemistry.mx.pearsonprd.tech|content-app.mx-prod.mastering.pearsoncmg.com|content-app.mx.pearsonprd.tech|content-service.mx-prod.mastering.pearsoncmg.com|content-service.mx.pearsonprd.tech|db-microbiology.mx.pearsonprd.tech|engineering.mx.pearsonprd.tech|envsci.mx.pearsonprd.tech|etext-service.mx-prod.mastering.pearsoncmg.com|etext-service.mx.pearsonprd.tech|genetics.mx.pearsonprd.tech|geography.mx.pearsonprd.tech|geology.mx.pearsonprd.tech|gimmie.mx-prod.mastering.pearsoncmg.com|gimmie.mx.pearsonprd.tech|healthandnutrition.mx.pearsonprd.tech|ies-token-validator.mx-prod.mastering.pearsoncmg.com|ies-token-validator.mx.pearsonprd.tech|import.mastering.pearsoncmg.com|import.mx.pearsonprd.tech|item-editor.mx-prod.mastering.pearsoncmg.com|item-editor.mx.pearsonprd.tech|jchem.mx-prod.mastering.pearsoncmg.com|jchem.mx.pearsonprd.tech|lcmon.mx-prod.mastering.pearsoncmg.com|lcmon.mx.pearsonprd.tech|masteringaandp.com|masteringastronomy.com|masteringbiology.com|masteringchemistry.com|masteringengineering.com|masteringenvironmentalscience.com|masteringgenetics.com|masteringgeography.com|masteringgeology.com|masteringhealthandnutrition.com|masteringmicrobiology.com|masteringphysics.com|memcached.mx.pearsonprd.tech|microbiology.mx.pearsonprd.tech|mjs.mx-prod.mastering.pearsoncmg.com|mjs.mx.pearsonprd.tech|mjs.prod.mastering.pearsoncmg.com|outbound-service.mx-prod.mastering.pearsoncmg.com|outbound-service.mx.pearsonprd.tech|physics.mx.pearsonprd.tech|pii-service.mx-prod.mastering.pearsoncmg.com|pii-service.mx.pearsonprd.tech|psm.mx-prod.mastering.pearsoncmg.com|psm.mx.pearsonprd.tech|redirect.mx-prod.mastering.pearsoncmg.com|redirect.mx.pearsonprd.tech|redis.mx.pearsonprd.tech|render.mx-prod.mastering.pearsoncmg.com|render.mx.pearsonprd.tech|session.masteringaandp.com|session.masteringastro.com|session.masteringastronomy.com|session.masteringbio.com|session.masteringbiology.com|session.masteringchemistry.com|session.masteringcollegephysics.com|session.masteringengineering.com|session.masteringenvironmentalscience.com|session.masteringgenetics.com|session.masteringgeography.com|session.masteringgeology.com|session.masteringhealthandnutrition.com|session.masteringmeteorology.com|session.masteringmicrobiology.com|session.masteringnutrition.pearson.com|session.masteringoceanography.com|session.masteringphysics.com|www.masteringaandp.com|www.masteringastro.com|www.masteringastronomy.com|www.masteringbio.com|www.masteringbiology.com|www.masteringchemistry.com|www.masteringcollegephysics.com|www.masteringengineering.com|www.masteringenvironmentalscience.com|www.masteringgenetics.com|www.masteringgeography.com|www.masteringgeology.com|www.masteringhealthandnutrition.com|www.masteringmeteorology.com|www.masteringmicrobiology.com|www.masteringnutrition.pearson.com|www.masteringoceanography.com|www.masteringphysics.com","","false"
"44.218.32.184","*.alertlabsdashboard.com","","","","","*.alertlabsdashboard.com","","false"
"44.218.32.206","*.staging.valididcloud.com","","","","","*.staging.valididcloud.com|staging.valididcloud.com","","false"
"44.218.32.219","kube-apiserver","","","","","2b1c4c6058b609bca25c05cdcb476dac.gr7.us-east-1.eks.amazonaws.com|ip-172-16-120-181.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.101.101.68|172.16.120.181","false"
"44.218.32.229","*.cru.org","","","","","*.cru.org|cru.org","","false"
"44.218.32.226","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-01.us-east-1.es.amazonaws.com","","false"
"44.218.32.230","citius-qa-cluster.moxo.com","","","","","citius-qa-cluster.moxo.com","","false"
"44.218.32.224","*.qa.sun.weather.com","International Business Machines Corporation","US","Armonk","New York","*.qa.sun.weather.com|qa.sun.weather.com","","false"
"44.218.32.245","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"44.218.32.235","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com","","false"
"44.218.33.7","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"44.218.33.20","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"44.218.33.16","*.awmdm.com","","","","","*.awmdm.com|awmdm.com","","false"
"44.218.33.33","*.pessoas.stone.com.br","","","","","*.pessoas.stone.com.br","","false"
"44.218.33.39","*.bafs.com","","","","","*.bafs.com|bafs.com|*.blastbackend.com|blastbackend.com","","false"
"44.218.33.21","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"44.218.33.53","*.ctfcyber.org","","","","","*.ctfcyber.org","","false"
"44.218.33.62","hip.prod.ips-prod.hmhco.com","","","","","hip.prod.ips-prod.hmhco.com","","false"
"44.218.33.60","www.cloudrouter.pakton.net","","","","","www.cloudrouter.pakton.net|cloudrouter.pakton.net","","false"
"44.218.33.68","*.prevops.com","","","","","*.prevops.com|prevops.com","","false"
"44.218.33.63","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"44.218.33.82","*.surgetransportation.net","","","","","*.surgetransportation.net|surgetransportation.net","","false"
"44.218.33.91","php.promecio.fernandopc.dev.br","","","","","php.promecio.fernandopc.dev.br","","false"
"44.218.33.85","srpago.com","","","","","srpago.com|*.srpago.com","","false"
"44.218.33.93","*.mycardbenefits.com","","","","","*.mycardbenefits.com|mycardbenefits.com","","false"
"44.218.33.94","*.stage.apps.vobile.net","","","","","*.stage.apps.vobile.net","","false"
"44.218.33.97","*.core-domain-rest-prod.core-domain.coxautoservices.com","","","","","*.core-domain-rest-prod.core-domain.coxautoservices.com|core-domain-rest-prod.core-domain.coxautoservices.com","","false"
"44.218.33.103","Plesk","Plesk","CH","Schaffhausen","","","","true"
"44.218.33.105","plus.fanbase.app","","","","","plus.fanbase.app|fanbase.app|*.fanbase.app|*.app.fanbase.app|app.fanbase.app|*.plus.fanbase.app","","false"
"44.218.33.99","*.eva.orangelogic.com","","","","","*.eva.orangelogic.com|*.eva.orangelogic.systems","","false"
"44.218.33.112","*.login.oitroot.us-east-1-ci1pr.preview.observeit.net","","","","","*.login.oitroot.us-east-1-ci1pr.preview.observeit.net|api.ingest-green.oitroot.us-east-1-ci1pr.preview.observeit.net|api.green.oitroot.us-east-1-ci1pr.preview.observeit.net|app.us-east-1-ci1pr.docs-dev.analyze.proofpoint.com|api.ingest-blue.us-east-1-ci1pr.dev.oit.proofpoint.com|api.blue.oitroot.us-east-1-ci1pr.preview.observeit.net|cf.blue.us-east-1-ci1pr.dev.oit.proofpoint.com|api.ingest-blue.oitroot.us-east-1-ci1pr.preview.observeit.net|api.ingest.oitroot.us-east-1-ci1pr.preview.observeit.net|app.us-east-1-ci1pr.dev.oit.proofpoint.com|*.explore-pr1.dev.sigma.lab.ppops.net|cf.green.us-east-1-ci1pr.dev.oit.proofpoint.com|api.ingest-green.us-east-1-ci1pr.dev.oit.proofpoint.com|*.ci1pr-vanity.dev.analyze.proofpoint.com|cf.green.us-east-1-ci1pr.preview.observeit.net|cf.blue.us-east-1-ci1pr.preview.observeit.net|app.oitroot.us-east-1-ci1pr.preview.observeit.net|api.green.us-east-1-ci1pr.dev.oit.proofpoint.com|api.blue.us-east-1-ci1pr.dev.oit.proofpoint.com|api.ingest.us-east-1-ci1pr.dev.oit.proofpoint.com","","false"
"44.218.33.116","devicemgmtapi-dev.rehrigpacific.com","","","","","devicemgmtapi-dev.rehrigpacific.com|www.devicemgmtapi-dev.rehrigpacific.com","","false"
"44.218.33.144","login.cert.pearsoncmg.com","Pearson PLC","GB","","London","login.cert.pearsoncmg.com|cert-account.mypearson.com|cert-ccndweb.pearsoncmg.com|cert-registration.mypearson.com|register.cert.pearsoncmg.com|ris.cert.pearsoncmg.com|smscert.pearsoncmg.com","","false"
"44.218.33.138","mfpcc.samhsa.gov","","","","","mfpcc.samhsa.gov","","false"
"44.218.33.137","mstr-dev.cashnetusa.com","","","","","mstr-dev.cashnetusa.com|www.mstr-dev.cashnetusa.com","","false"
"44.218.33.157","ops.mento.cl","","","","","ops.mento.cl","","false"
"44.218.33.166","*.antamina.com","","","","","*.antamina.com","","false"
"44.218.33.172","ip-172-31-21-36.ec2.internal","","","","","ip-172-31-21-36.ec2.internal","","true"
"44.218.33.174","smartwall-dev.theglobeandmail.com","","","","","smartwall-dev.theglobeandmail.com","","false"
"44.218.33.179","*.veoci.com","","","","","*.veoci.com|*.stage.veoci.com","","false"
"44.218.33.191","*.stage.centrical.me","","","","","*.stage.centrical.me","","false"
"44.218.33.193","www.idleballs3d.com","","","","","www.idleballs3d.com|api.idleballs3d.com","","false"
"44.218.33.195","*.directs.com","","","","","*.directs.com|directs.com","","false"
"44.218.33.207","*.thecoagtool.com","","","","","*.thecoagtool.com","","false"
"44.218.33.210","*.sure.land","","","","","*.sure.land|sure.land","","false"
"44.218.33.217","*.nonamesec.com","","","","","*.nonamesec.com","","false"
"44.218.33.208","*.mq.us-east-1.amazonaws.com","","","","","*.mq.us-east-1.amazonaws.com","","false"
"44.218.33.224","*.vinsolutions.com","","","","","*.vinsolutions.com","","false"
"44.218.33.230","moneyripples.com","","","","","moneyripples.com","","false"
"44.218.33.237","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"44.218.33.229","*.evotests.com","","","","","*.evotests.com|evotests.com","","false"
"44.218.33.241","ops.zoneandco.com","","","","","ops.zoneandco.com","","false"
"44.218.33.245","*.ainvestbrokers.com","","","","","*.ainvestbrokers.com|ainvestbrokers.com","","false"
"44.218.33.255","kube-apiserver","","","","","8bdf3e249e5a4b3032ff829ef4dca73f.gr7.us-east-1.eks.amazonaws.com|ip-172-16-35-10.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.57.38|172.16.35.10","false"
"44.218.34.2","*.dropthought.com","","","","","*.dropthought.com|dropthought.com","","false"
"44.218.34.3","*.preprod.amer.amway.com","","","","","*.preprod.amer.amway.com|*.preprod.amer.amway.com.do|*.preprod.amer.amway.ca","","false"
"44.218.34.6","CloudFlare Origin Certificate","CloudFlare, Inc.","","","","*.unabase.net|unabase.net","","false"
"44.218.34.5","canvis.co","","","","","canvis.co|*.canvis.co","","false"
"44.218.34.8","kube-apiserver","","","","","47142d2ea211c62f671801fb589398a2.gr7.us-east-1.eks.amazonaws.com|ip-172-16-110-164.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.59.213|172.16.110.164","false"
"44.218.34.9","*.influencestaging.com","","","","","*.influencestaging.com","","false"
"44.218.34.12","miraloaki.com","","","","","miraloaki.com|www.miraloaki.com","","false"
"44.218.34.17",":this.is.default","the-company-for-self-certificates","IL","Tel-Aviv","Gush-Dan","","","true"
"44.218.34.20","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-02.us-east-1.es.amazonaws.com","","false"
"44.218.34.28","*.p1care.com","","","","","*.p1care.com|p1care.com","","false"
"44.218.34.29","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com","","false"
"44.218.34.35","*.ip5dev.com","","","","","*.ip5dev.com|ip5dev.com","","false"
"44.218.34.40","*.epsilonagilityloyalty.com","","","","","*.epsilonagilityloyalty.com","","false"
"44.218.34.38","*.platform-sandbox.adaptavist.net","","","","","*.platform-sandbox.adaptavist.net","","false"
"44.218.34.42","kube-apiserver","","","","","bac8f0a5d1895271387dac00d50e400d.gr7.us-east-1.eks.amazonaws.com|ip-172-16-96-149.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.34.70|172.16.96.149","false"
"44.218.34.43","opf-stg.raiadrogasil.io","","","","","opf-stg.raiadrogasil.io|*.opf-stg.raiadrogasil.io","","false"
"44.218.34.46","*.tooles.co","","","","","*.tooles.co","","false"
"44.218.34.45","kube-apiserver","","","","","a9dc541020126bbfd02de0ad25509061.gr7.us-east-1.eks.amazonaws.com|ip-172-16-175-225.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.113.172.16|172.16.175.225","false"
"44.218.34.44","aem-disp-qa.emtqa.aws.gartner.com","","","","","aem-disp-qa.emtqa.aws.gartner.com|pvs-preview.gartner.ca|*.evanta.com|pvs-preview.gartner.de|pvs-preview.gartner.ch|pvs-preview.gartner.jp|pvs-preview.gartner.pt|pvs-preview.gartner.co.jp|pvs-preview.gartner.es|pvs-preview.gartner.mx|pvs-preview.gartner.fr|pvs-preview.gartner.com.br|pvs-preview.gartner.co.uk|aem-dispstg-qa.emtqa.aws.gartner.com|pvs-preview.gartner.com|pvs-preview.gartner.com.au","","false"
"44.218.34.53","*.prd-prsn.com","Pearson PLC","GB","","London","*.prd-prsn.com|prd-prsn.com","","false"
"44.218.34.57","*.hoteltrader.com","","","","","*.hoteltrader.com","","false"
"44.218.34.64","*.imedidata.net","Medidata Solutions, Inc","US","New York","New York","*.imedidata.net|imedidata.net","","false"
"44.218.34.68","managed-tls-fws-s-ue1-qn-81082f4564af.cloudos.autodesk.com","Autodesk, Inc.","US","San Rafael","California","managed-tls-fws-s-ue1-qn-81082f4564af.cloudos.autodesk.com|fwsapp.fws-s-ue1-qn.cloudos.autodesk.com|workflow.qa.fusionapi.autodesk.com","","false"
"44.218.34.71","alteredentropy.com","","","","","alteredentropy.com|*.alteredentropy.com","","false"
"44.218.34.78","*.rigdigbi.com","","","","","*.rigdigbi.com","","false"
"44.218.34.74","control.hollows-951897.evergreen.space","Heroku","US","San Francisco","California","control.hollows-951897.evergreen.space","","false"
"44.218.34.80","*.withminta.com","","","","","*.withminta.com|withminta.com","","false"
"44.218.34.87","extranet-gestioncomercial.promart.pe","","","","","extranet-gestioncomercial.promart.pe","","false"
"44.218.34.107","*.rmq.cloudamqp.com","","","","","*.in.cloudamqp.com|*.rmq.cloudamqp.com","","false"
"44.218.34.109","playground.stage02.obdemo.com","","","","","playground.stage02.obdemo.com","","false"
"44.218.34.112","*.lastmilecorp.net","","","","","*.lastmilecorp.net|lastmilecorp.net","","false"
"44.218.34.118","eadev01use1.apps.everstream.ai","","","","","eadev01use1.apps.everstream.ai|*.eadev01use1.apps.everstream.ai","","false"
"44.218.34.132","kube-apiserver","","","","","49d66f6f2f22429bb047ac9f183521f5.gr7.us-east-1.eks.amazonaws.com|ip-10-0-103-216.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.168.72.26|10.0.103.216","false"
"44.218.34.133","infobarometro.com","","","","","infobarometro.com|www.infobarometro.com","","false"
"44.218.34.137","*.implan.com","Implan Group LLC","US","Huntersville","North Carolina","*.implan.com|implan.com","","false"
"44.218.34.144","download.careevolution.com","","","","","download.careevolution.com","","false"
"44.218.34.145","*.ruleout.com","","","","","*.ruleout.com","","false"
"44.218.34.141","*.luxdeepblue.com","","","","","*.luxdeepblue.com","","false"
"44.218.34.150","mggeappliance.com","","","","","mggeappliance.com","","false"
"44.218.34.156","*.accurate.com","","","","","*.accurate.com","","false"
"44.218.34.167","*.laerdalblr.in","Laerdal Bangalore LLP","IN","Bengaluru","Karnataka","*.laerdalblr.in|laerdalblr.in","","false"
"44.218.34.171","*.neqqo.com","","","","","*.neqqo.com|neqqo.com","","false"
"44.218.34.172","abasteceai.com.br","","","","","abasteceai.com.br|www.abasteceai.com.br","","false"
"44.218.34.178","mlabs.com.br","","","","","mlabs.com.br|mlabs.io|*.mlabs.com.br|*.mlabs.io","","false"
"44.218.34.184","*.screenmeet.com","","","","","*.screenmeet.com|screenmeet.com","","false"
"44.218.34.190","*.dillianzbank.com.br","","","","","*.dillianzbank.com.br","","false"
"44.218.34.194","okikiolu.com","","","","","okikiolu.com|www.okikiolu.com","","false"
"44.218.34.199","kube-apiserver","","","","","07f7d34f9e562161ab2377efb6f7efce.gr7.us-east-1.eks.amazonaws.com|ip-172-16-103-145.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.1.213|172.16.103.145","false"
"44.218.34.202","*.crbo.customerappsstag.dowjones.io","","","","","*.crbo.customerappsstag.dowjones.io","","false"
"44.218.34.201","*.lab.icariohealth.io","","","","","*.lab.icariohealth.io","","false"
"44.218.34.211","publish-np.cars.com","Cars.com, LLC","US","Chicago","Illinois","publish-np.cars.com","","false"
"44.218.34.217","*.cancerinsights.com","","","","","*.cancerinsights.com|cancerinsights.com","","false"
"44.218.34.239","*.to.egg.sc-teams.com","","","","","*.to.egg.sc-teams.com|to.egg.sc-teams.com","","false"
"44.218.34.240","*.awsproject.dev","","","","","*.awsproject.dev","","false"
"44.218.34.247","*.staging.getmoonbounce.com","","","","","*.staging.getmoonbounce.com|staging.moonbounce.dev|staging.getmoonbounce.com|*.staging.moonbounce.dev","","false"
"44.218.34.248","TRAEFIK DEFAULT CERT","","","","","c85e76d2b5387fc9b57488ef3dccac7e.c667ea067925546421d321ae5b54810e.traefik.default","","true"
"44.218.35.4","*.phasezero.xyz","","","","","*.phasezero.xyz|phasezero.xyz","","false"
"44.218.35.24","staging.rinsed.co","","","","","staging.rinsed.co|*.staging.rinsed.co","","false"
"44.218.35.25","*.ait.epsilon.com","Epsilon Data Management, LLC","US","Irving","Texas","*.ait.epsilon.com|ait.epsilon.com","","false"
"44.218.34.252","radar-dev.dartmouth.edu","","","","","radar-dev.dartmouth.edu","","false"
"44.218.34.255","*.memberactivities.com","","","","","*.memberactivities.com|*.concierge.memberactivities.com|*.api.memberactivities.com|*.admin.memberactivities.com","","false"
"44.218.34.254","*.kiwi-internal.com","","","","","*.kiwi-internal.com|kiwi-internal.com","","false"
"44.218.35.8","kube-apiserver","","","","","ce3f36639cbecd686565599b89373ce2.gr7.us-east-1.eks.amazonaws.com|ip-172-16-113-8.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.3.177.210|172.16.113.8","false"
"44.218.35.47","*.us-east-1.lb.cvent.com","","","","","*.us-east-1.lb.cvent.com","","false"
"44.218.35.58","githrive.canvasmedical.com","","","","","githrive.canvasmedical.com","","false"
"44.218.35.31","*.projects.lssrv.net","","","","","*.projects.lssrv.net","","false"
"44.218.35.61","dev.api.hero99.io","","","","","dev.api.hero99.io","","false"
"44.218.35.60","*.protege-war-dev.hycu.com","","","","","*.protege-war-dev.hycu.com","","false"
"44.218.35.64","access-one.staging.getequiem.com","","","","","access-one.staging.getequiem.com","","false"
"44.218.35.81","tycho-jenkins-prod.ext.hpe.com","Hewlett Packard Enterprise Company","US","Spring","Texas","tycho-jenkins-prod.ext.hpe.com","","false"
"44.218.35.86","*.tm2ois6av02oa.us-east-1.cs.amazonlightsail.com","","","","","*.tm2ois6av02oa.us-east-1.cs.amazonlightsail.com","","false"
"44.218.35.102","wildcard.prod.getty1.net","","","","","wildcard.prod.getty1.net|*.prod.getty1.net","","false"
"44.218.35.93","element-wise.com","","","","","element-wise.com|*.element-wise.com","","false"
"44.218.35.126","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"44.218.35.116","*.ml4.us-east-1.aws-dev.app.snowflake.com","Snowflake Inc.","US","San Mateo","California","*.ml4.us-east-1.aws-dev.app.snowflake.com|ml4.us-east-1.aws-dev.app.snowflake.com","","false"
"44.218.35.113","*.gamma.execute-api.us-east-1.amazonaws.com","","","","","*.gamma.execute-api.us-east-1.amazonaws.com","","false"
"44.218.35.139","*.songfinch.com","","","","","*.songfinch.com|*.staging-us-east.k.songfinch.com","","false"
"44.218.35.143","api.tasking.imerit-stage.io","","","","","api.tasking.imerit-stage.io|jobbuilder.tasking.imerit-stage.io|tv2delegatorapi.tasking.imerit-stage.io|datapurgerapi.tasking.imerit-stage.io|imppapi.tasking.imerit-stage.io|deliverymanagerapi.tasking.imerit-stage.io|flowmanagerapi.tasking.imerit-stage.io|accuracymanagerapi.tasking.imerit-stage.io|imppapp.tasking.imerit-stage.io","","false"
"44.218.35.156","api.tagsimples.com","","","","","api.tagsimples.com","","false"
"44.218.35.157","main-admiring-easley-gsp1edf.cribl.cloud","","","","","main-admiring-easley-gsp1edf.cribl.cloud|default.main.admiring-easley-gsp1edf.cribl.cloud|in.main-default-admiring-easley-gsp1edf.cribl.cloud|*.main.admiring-easley-gsp1edf.cribl.cloud","","false"
"44.218.35.167","TRAEFIK DEFAULT CERT","","","","","abcd1c7cdd26f02a2adc779b422ac89c.464981a3dc401c66767634bf8fb497d5.traefik.default","","true"
"44.218.35.168","editor.befikracommunity.in","","","","","editor.befikracommunity.in","","false"
"44.218.35.171","tools-psv-qa.cc.capillarytech.com","","","","","*.tools-psv-qa.cc.capillarytech.com|tools-psv-qa.cc.capillarytech.com","","false"
"44.218.35.183","*.loadtest.shift.services.gearbox.com","","","","","*.loadtest.shift.services.gearbox.com|loadtest.shift.services.gearbox.com","","false"
"44.218.35.182","*.att.us-east-1.aws.app.snowflake.com","Snowflake Inc.","US","San Mateo","California","*.att.us-east-1.aws.app.snowflake.com|att.us-east-1.aws.app.snowflake.com","","false"
"44.218.35.186","*.dev.demisto.live","","","","","*.dev.demisto.live","","false"
"44.218.35.57","municipio-batatais.fleetcards.com.br","","","","","municipio-batatais.fleetcards.com.br","","false"
"44.218.35.190","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com","","false"
"44.218.35.188","*.sam.prismacloud.io","","","","","*.sam.prismacloud.io|*.redlock.io","","false"
"44.218.35.197","rq3cqsmw9b.app-staging.inductive.bio","","","","","rq3cqsmw9b.app-staging.inductive.bio","","false"
"44.218.35.201","*.instoreview.cl","","","","","*.instoreview.cl","","false"
"44.218.35.203","kube-apiserver","","","","","59660000e1c37348e02ffc641ae4a5d1.gr7.us-east-1.eks.amazonaws.com|ip-172-16-187-39.ec2.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|100.66.26.248|172.16.187.39","false"
"44.218.35.170","*.stage.vpn.sse.cisco.com","Cisco Systems Inc.","US","San Jose","California","stage.vpn.sse.cisco.com|*.stage.vpn.sse.cisco.com","","false"
"44.218.35.209","*.mapbox.com","","","","","*.mapbox.com|mapbox.com","","false"
"44.218.35.218","amver-ui.polestar-testing.com","","","","","amver-ui.polestar-testing.com","","false"
"44.218.35.221","*.mygowild.com","","","","","*.mygowild.com|mygowild.com","","false"
"44.218.35.238","*.cloud.aquasec.com","Aqua Security Software Ltd","IL","Ramat Gan","","*.cloud.aquasec.com|cloud.aquasec.com","","false"
